cycles,iterations,avg_prob_0
1,1,0.62197265625
1,2,0.708984375
1,3,0.61455078125
1,4,0.78759765625
1,5,0.56201171875
1,6,0.77294921875
1,7,0.71318359375
1,8,0.5474609375
1,9,0.52734375
1,10,0.5685546875
1,11,0.6693359375
1,12,0.55283203125
1,13,0.65693359375
1,14,0.574609375
1,15,0.58681640625
1,16,0.657421875
1,17,0.5564453125
1,18,0.6095703125
1,19,0.757421875
1,20,0.56611328125
2,1,0.39482421875
2,2,0.47802734375
2,3,0.43701171875
2,4,0.47998046875
2,5,0.3732421875
2,6,0.451171875
2,7,0.52724609375
2,8,0.55576171875
2,9,0.42314453125
2,10,0.3216796875
2,11,0.4650390625
2,12,0.29453125
2,13,0.5779296875
2,14,0.46044921875
2,15,0.415234375
2,16,0.486328125
2,17,0.44267578125
2,18,0.3609375
2,19,0.60615234375
2,20,0.51767578125
3,1,0.28232421875
3,2,0.39072265625
3,3,0.329296875
3,4,0.28212890625
3,5,0.297265625
3,6,0.32392578125
3,7,0.38984375
3,8,0.36298828125
3,9,0.42685546875
3,10,0.33740234375
3,11,0.30341796875
3,12,0.32216796875
3,13,0.35380859375
3,14,0.31220703125
3,15,0.27041015625
3,16,0.26533203125
3,17,0.41376953125
3,18,0.34453125
3,19,0.4048828125
3,20,0.28349609375
4,1,0.2888671875
4,2,0.278515625
4,3,0.3140625
4,4,0.2619140625
4,5,0.237890625
4,6,0.28330078125
4,7,0.21630859375
4,8,0.24521484375
4,9,0.25869140625
4,10,0.265625
4,11,0.3015625
4,12,0.22900390625
4,13,0.27294921875
4,14,0.3533203125
4,15,0.27236328125
4,16,0.3322265625
4,17,0.3009765625
4,18,0.24296875
4,19,0.31142578125
4,20,0.22197265625
5,1,0.3099609375
5,2,0.29375
5,3,0.29033203125
5,4,0.23837890625
5,5,0.2724609375
5,6,0.24404296875
5,7,0.2578125
5,8,0.22724609375
5,9,0.2326171875
5,10,0.260546875
5,11,0.2427734375
5,12,0.231640625
5,13,0.23388671875
5,14,0.278515625
5,15,0.26904296875
5,16,0.26962890625
5,17,0.2171875
5,18,0.21669921875
5,19,0.22763671875
5,20,0.32783203125
