shots,cycles,iterations,max_probability
10,1,5,0.52
10,2,4,0.35
10,3,3,0.33999999999999997
10,4,2,0.27999999999999997
10,5,1,0.21999999999999997
50,1,5,0.42000000000000004
50,2,4,0.32999999999999996
50,3,3,0.32799999999999996
50,4,2,0.294
50,5,1,0.18
100,1,5,0.6020000000000001
100,2,4,0.29900000000000004
100,3,3,0.295
100,4,2,0.252
100,5,1,0.164
200,1,5,0.4525
200,2,4,0.341
200,3,3,0.27849999999999997
200,4,2,0.24499999999999997
200,5,1,0.1755
300,1,5,0.4323333333333334
300,2,4,0.34933333333333333
300,3,3,0.3083333333333334
300,4,2,0.26366666666666666
300,5,1,0.20866666666666664
400,1,5,0.39049999999999996
400,2,4,0.4095000000000001
400,3,3,0.26449999999999996
400,4,2,0.30300000000000005
400,5,1,0.12775
500,1,5,0.4138
500,2,4,0.30219999999999997
500,3,3,0.3136
500,4,2,0.2562
500,5,1,0.19039999999999999
600,1,5,0.393
600,2,4,0.27316666666666667
600,3,3,0.26516666666666666
600,4,2,0.28200000000000003
600,5,1,0.1565
700,1,5,0.47857142857142854
700,2,4,0.3435714285714286
700,3,3,0.3781428571428571
700,4,2,0.2905714285714286
700,5,1,0.1682857142857143
800,1,5,0.45199999999999996
800,2,4,0.306125
800,3,3,0.321625
800,4,2,0.2675
800,5,1,0.15699999999999997
900,1,5,0.4184444444444444
900,2,4,0.3201111111111111
900,3,3,0.26
900,4,2,0.24466666666666667
900,5,1,0.16555555555555554
1000,1,5,0.48250000000000004
1000,2,4,0.2732
1000,3,3,0.3718
1000,4,2,0.25400000000000006
1000,5,1,0.1841
1000,5,1,0.1841
